순위,채널명,카테고리,구독자수,조회수,비디오수
259,Zorip - Nursery Rhymes,키즈/어린이,2320000,766530000,25
258,Lime Doodles,키즈/어린이,2320000,885680000,1500
257,free지아,패션/미용,2320000,32870000,34
256,이 남자의 cook,음식/요리/레시피,2320000,532410000,807
255,아는형님 Knowingbros,TV/방송,2320000,1613530000,4267
254,A-YEON,음악/댄스/가수,2320000,314170000,69
253,채널A 뉴스,뉴스/정치/사회,2320000,3711330000,91180
252,삼프로TV_경제의신과함께,주식/경제/부동산,2320000,1073960000,13168
251,디바제시카DeevaJessica,교육/강의,2320000,1139780000,3548
260,VIVA DANCE STUDIO,BJ/인물/연예인,2310000,487800000,3139
262,Jung Kook - Topic,미분류,2300000,221680000,24
261,여자친구 GFRIEND OFFICIAL,음악/댄스/가수,2300000,676800000,515
264,채널 NCT MUSIC,음악/댄스/가수,2290000,213850000,29
263,고몽,영화/만화/애니,2290000,1294570000,769
266,official IZ*ONE,음악/댄스/가수,2280000,822640000,270
265,창현거리노래방 streetkaraoke,음악/댄스/가수,2280000,364540000,1303
268,United CUBE (CUBE Entertainment Official YouTube Channel),음악/댄스/가수,2270000,763160000,1614
267,JerryPop,음식/요리/레시피,2270000,861060000,429
273,꿀주부 Honeyjubu,미분류,2260000,225160000,170
272,토이영어TV - ToyEnglishTV,키즈/어린이,2260000,1454800000,28
271,또봇 Tobot,키즈/어린이,2260000,2945500000,2314
270,침착맨,게임,2260000,1862850000,6640
269,RISABAE,패션/미용,2260000,319200000,488
276,XG,미분류,2250000,617080000,308
275,GOT7,음악/댄스/가수,2250000,95920000,27
274,MLD ENTERTAINMENT,음악/댄스/가수,2250000,898800000,839
278,헨리 HENRY LAU,음악/댄스/가수,2240000,253830000,366
277,[wonderkids TV] 원더키즈 TV,키즈/어린이,2230000,1053970000,1085
279,도남이먹방Donam,음식/요리/레시피,2230000,766430000,1140
280,올리버쌤,교육/강의,2210000,821040000,862
281,AOMGOFFICIAL,음악/댄스/가수,2200000,708570000,521
282,해그린달 haegreendal,BJ/인물/연예인,2190000,100460000,62
283,NMIXX,미분류,2180000,615890000,542
284,[THE SOY]루퐁이네,애완/반려동물,2170000,877810000,577
285,채널 NCT DANCE,음악/댄스/가수,2160000,219550000,42
286,MBN Entertainment,TV/방송,2150000,2301970000,73741
287,4Minute 포미닛(Official YouTube Channel),음악/댄스/가수,2140000,1401240000,82
288,dingo freestyle,TV/방송,2130000,1488000000,1400
292,SUGA - Topic,음악/댄스/가수,2120000,197140000,59
291,1theK Originals - 원더케이 오리지널,미분류,2120000,1386860000,2636
290,꿀키honeykki,음식/요리/레시피,2120000,280970000,472
289,FoodieBoy 푸디보이,음식/요리/레시피,2120000,784560000,1815
294,jannahkorea 잔나코리아,교육/강의,2110000,378750000,618
293,수리노을SuriNoel,애완/반려동물,2110000,835730000,1293
297,WildBrain 한국어,키즈/어린이,2100000,844450000,2820
296,THE BOYZ,음악/댄스/가수,2100000,680490000,907
295,잠뜰 TV,게임,2100000,3366320000,3678
300,CL Official Channel,음악/댄스/가수,2090000,299010000,72
299,EBSCulture (EBS 교양),뉴스/정치/사회,2090000,1592900000,46726
298,와썹맨-Wassup Man,BJ/인물/연예인,2090000,335040000,195
302,엠뚜루마뚜루 : MBC 공식 종합 채널,미분류,2080000,3723990000,6619
304,오킹TV,TV/방송,2080000,1158730000,2013
301,밀키복이탄이MilkyBokiTan,애완/반려동물,2080000,780840000,623
305,Allblanc TV,스포츠/운동,2070000,253820000,596
303,Imaginative Guy,취미/라이프,2070000,709820000,145
306,1분미만,미분류,2050000,690240000,386
307,밴쯔,음식/요리/레시피,2040000,1171330000,2633
309,비몽,음악/댄스/가수,2030000,1108730000,5529
311,혜안,게임,2030000,1187630000,1283
308,캐리TV 장난감친구들,키즈/어린이,2030000,2906030000,3308
310,유라야놀자(Let's play YURA),키즈/어린이,2020000,2397290000,1840
314,Teen Vogue,미분류,2010000,747860000,1487
313,CHEN,음악/댄스/가수,2010000,40200000,17
312,BTOB 비투비 (Official YouTube Channel),음악/댄스/가수,2010000,765360000,1049
315,레이디버그TV,영화/만화/애니,1990000,0,0
317,ARIRANG K-POP,음악/댄스/가수,1980000,910690000,33521
316,EXID_OFFICIAL,음악/댄스/가수,1980000,751470000,341
319,Dollightful,키즈/어린이,1970000,328540000,174
318,woolliment,음악/댄스/가수,1970000,953280000,948
324,핑키팝토이,키즈/어린이,1960000,934350000,1307
323,KBS 한국방송,TV/방송,1960000,1901280000,33160
322,loonatheworld,음악/댄스/가수,1960000,852980000,1113
321,SPOTV,스포츠/운동,1960000,1687510000,13585
320,퇴경아 약먹자,TV/방송,1960000,364120000,709
325,대문밖장덕대,키즈/어린이,1950000,940170000,1680
326,문명특급 - MMTG,TV/방송,1940000,688300000,468
327,두두팝토이,키즈/어린이,1930000,1116840000,1568
329,planD플랜디,미분류,1920000,267540000,206
328,[상윤쓰]Sangyoon,BJ/인물/연예인,1920000,484120000,228
331,DAY6,음악/댄스/가수,1910000,607590000,528
330,빠니보틀 Pani Bottle,국내/해외/여행,1910000,431420000,303
332,Toy Wizard [토이위자드],키즈/어린이,1900000,30930000,30
334,셀프어쿠스틱selfacoustic,음악/댄스/가수,1890000,517850000,277
333,슈앤트리 SHU AND TREE,애완/반려동물,1890000,477910000,599
337,V - Topic,미분류,1880000,72190000,20
336,Wimbledon,미분류,1880000,1545190000,5445
335,사피엔스 스튜디오,미분류,1880000,608890000,4911
340,Clay Adventure 클레이 모험,키즈/어린이,1870000,1111900000,1511
339,tvN D STUDIO,TV/방송,1870000,693820000,1362
338,강형욱의 보듬TV,애완/반려동물,1870000,573140000,863
343,MBN News,뉴스/정치/사회,1860000,2100380000,158863
342,Wishtrend TV,패션/미용,1860000,186660000,1138
341,뉴욕이네,키즈/어린이,1860000,877690000,906
347,김작가 TV,미분류,1850000,530660000,3195
346,ETTV 이티티비,음식/요리/레시피,1850000,945670000,1571
345,티디키즈 (인기 동요・동화),키즈/어린이,1850000,1205140000,617
344,ASMR Suna 꿀꿀선아,음식/요리/레시피,1850000,490440000,653
349,땅콩 Peanut,미분류,1840000,965440000,71
348,14F 일사에프,TV/방송,1840000,822580000,3973
352,FNCEnt,음악/댄스/가수,1830000,479880000,1691
351,내셔널지오그래픽 - National Geographic Korea,애완/반려동물,1830000,876230000,3646
350,밝은 면 Bright Side Korea,IT/기술/컴퓨터,1830000,584900000,5298
354,스터디언,교육/강의,1820000,292020000,3966
353,효진조 Hyojin Cho,패션/미용,1820000,237270000,467
355,자이언트 펭TV,키즈/어린이,1810000,500190000,645
358,진성호방송,뉴스/정치/사회,1810000,3646240000,14417
357,세바시 강연 Sebasi Talk,뉴스/정치/사회,1810000,449220000,2767
356,꾹TV(Kkuk TV),키즈/어린이,1810000,1211730000,1792
363,TAEYANG,음악/댄스/가수,1800000,267810000,67
362,OfficialLEEHI,음악/댄스/가수,1800000,554370000,106
361,데이브 World of Dave,교육/강의,1800000,473430000,688
360,입짧은햇님,음식/요리/레시피,1800000,864510000,3108
359,조재원,TV/방송,1800000,724750000,500
364,낄낄상회,취미/라이프,1790000,895020000,792
366,깨비키즈 [KEBIKIDS],키즈/어린이,1790000,2006070000,2219
368,KBS 다큐,뉴스/정치/사회,1780000,1178970000,41016
367,DJ SODA OFFICIAL,음악/댄스/가수,1780000,247400000,208
365,보물섬,BJ/인물/연예인,1780000,1606160000,665
369,한문철 TV,TV/방송,1770000,2446820000,22408
372,KBS Drama Classic,뉴스/정치/사회,1750000,1756010000,19137
371,우주하마,게임,1750000,1306110000,2425
370,HONG SOUND,음식/요리/레시피,1750000,618130000,1382
377,Super JoJo-인기동요,키즈/어린이,1740000,0,0
376,KBS HUMAN: 뭉클티비,TV/방송,1740000,1053830000,7174
375,워너뮤직코리아 (Warner Music Korea),음악/댄스/가수,1740000,1196640000,4094
374,Daily Busking,음악/댄스/가수,1740000,744970000,1056
373,악동 김블루,게임,1740000,1421300000,1477
385,신사장,미분류,1730000,2007310000,716
380,너덜트,미분류,1730000,273400000,61
379,SBS STORY,뉴스/정치/사회,1730000,2204560000,85374
378,콬TV,TV/방송,1730000,721980000,1288
387,tripleS official,미분류,1720000,240220000,1013
386,빵빵이의 일상,미분류,1720000,461760000,53
384,요리용디 Yori Yongd,미분류,1720000,1478420000,508
383,김대석 셰프TV,미분류,1720000,378520000,952
382,뉴스TVCHOSUN,뉴스/정치/사회,1720000,1734020000,92689
381,지니키즈 Genikids (인기 동요・동화),키즈/어린이,1720000,1451850000,1265
393,INTHESOOP_TV,TV/방송,1710000,52970000,76
392,T1 Faker,게임,1710000,379470000,1357
391,Dreamcatcher official,음악/댄스/가수,1710000,561010000,718
390,PENTAGON 펜타곤 (Official YouTube Channel),음악/댄스/가수,1710000,353960000,753
389,MKTV 김미경TV,TV/방송,1710000,382820000,2101
388,김시선,영화/만화/애니,1710000,467760000,471
394,츈례쌤 CRS,키즈/어린이,1700000,120000,15
397,곽튜브,국내/해외/여행,1690000,384580000,314
396,시즌비시즌 Season B Season,음악/댄스/가수,1690000,307470000,137
395,웃소 Wootso,BJ/인물/연예인,1690000,2194430000,1038
399,베베핀 Bebefinn - 키즈 인기 동요,키즈/어린이,1680000,485590000,322
398,더블비,BJ/인물/연예인,1680000,1278510000,649
402,STAYC,미분류,1670000,972140000,695
401,약사가 들려주는 약 이야기,IT/기술/컴퓨터,1670000,267870000,572
400,양띵 유튜브,게임,1670000,2137190000,9661
403,신사임당,주식/경제/부동산,1660000,338610000,1579
408,조승연의 탐구생활,교육/강의,1650000,165250000,390
407,DOJIN도진이,음악/댄스/가수,1650000,101230000,70
406,요리왕비룡 Korean Food Cooking,BJ/인물/연예인,1650000,359790000,1006
405,오마이TV,뉴스/정치/사회,1650000,1550410000,27244
404,Talk To Me In Korean,교육/강의,1650000,79600000,1749
410,Beginagain 비긴어게인,TV/방송,1640000,915720000,1890
409,버블디아,음악/댄스/가수,1640000,491960000,1370
413,스토리,미분류,1630000,441190000,91
412,미스&미스터트롯,회사/오피셜,1630000,1905240000,7019
411,이수현 Official,패션/미용,1630000,140070000,132
415,seemile Korean,교육/강의,1620000,112880000,1278
414,김재원의 즐거운 세상,게임,1620000,2212190000,2916
420,고누리,미분류,1610000,777780000,751
